day,accountId,maximum,average,AATotal,CCTotal,FFTotal
3,A42,801.81,639.86,0.0,0.0,0.0
3,A43,886.73,662.9,1280.19,1371.42,0.0
3,A44,949.92,592.32,949.92,397.19,139.55
3,A45,662.98,662.98,0.0,0.0,0.0
3,A46,827.91,588.44,1048.99,0.0,1304.79
3,A47,400.42,400.42,0.0,0.0,0.0
3,A48,797.19,495.38,990.76,0.0,0.0
3,A49,848.9,613.81,0.0,0.0,0.0
3,A5,677.89,381.88,0.0,183.1,0.0
3,A6,959.67,503.78,0.0,0.0,0.0
3,A7,650.23,508.62,0.0,0.0,0.0
3,A8,624.81,371.86,598.28,253.09,323.22
3,A9,676.48,574.89,0.0,0.0,0.0
4,A1,227.64,227.64,0.0,0.0,0.0
4,A10,747.62,576.38,0.0,423.94,0.0
4,A11,914.89,597.09,1906.46,0.0,0.0
4,A12,928.86,651.45,0.0,0.0,438.88
4,A13,996.67,475.36,0.0,0.0,516.34
4,A14,733.77,475.26,0.0,351.16,191.18
4,A15,713.6,440.96,0.0,0.0,0.0
4,A16,820.45,653.42,0.0,353.66,0.0
4,A17,788.24,660.69,788.24,0.0,0.0
4,A18,379.86,268.57,157.28,0.0,0.0
4,A19,14.42,14.42,0.0,0.0,0.0
4,A2,775.37,775.37,0.0,0.0,0.0
4,A20,877.24,683.74,0.0,0.0,0.0
4,A21,857.83,416.95,0.0,0.0,0.0
4,A23,743.51,423.86,743.51,0.0,0.0
4,A24,298.56,298.56,0.0,0.0,0.0
4,A25,291.76,291.76,291.76,0.0,0.0
4,A26,43.57,43.57,0.0,0.0,0.0
4,A27,764.79,618.77,0.0,764.79,753.42
4,A28,530.93,379.38,0.0,872.45,265.7
4,A29,997.18,548.44,0.0,0.0,439.49
4,A3,873.58,603.68,0.0,0.0,0.0
4,A30,958.29,759.09,0.0,0.0,822.84
4,A31,748.48,432.18,0.0,0.0,748.48
4,A32,499.86,392.1,0.0,0.0,0.0
4,A33,352.64,183.97,0.0,0.0,0.0
4,A34,738.28,514.8,738.28,0.0,579.92
4,A35,944.66,626.11,826.1,0.0,1189.96
4,A36,197.62,197.62,0.0,0.0,0.0
4,A37,338.21,338.21,0.0,338.21,0.0
4,A39,982.64,982.64,0.0,982.64,0.0
4,A4,732.07,625.67,0.0,659.49,0.0
4,A40,633.84,534.67,0.0,0.0,435.5
4,A41,775.15,478.4,0.0,0.0,181.65
4,A42,801.81,639.86,0.0,0.0,0.0
4,A43,886.73,662.9,1280.19,1371.42,0.0
4,A44,949.92,574.2,1451.63,397.19,139.55
4,A45,855.74,606.79,0.0,213.21,0.0
4,A46,827.91,588.44,1048.99,0.0,1304.79
4,A47,400.42,400.42,0.0,0.0,0.0
4,A48,797.19,495.38,990.76,0.0,0.0
4,A49,848.9,613.81,0.0,0.0,0.0
4,A5,736.5,452.8,0.0,919.6,0.0
4,A6,959.67,503.78,0.0,0.0,0.0
4,A7,650.23,508.62,0.0,0.0,0.0
4,A8,624.81,371.86,598.28,253.09,323.22
4,A9,676.48,574.89,0.0,0.0,0.0
5,A1,977.98,602.81,0.0,0.0,977.98
5,A10,747.62,465.4,0.0,556.4,0.0
5,A11,914.89,597.09,1906.46,0.0,0.0
5,A12,928.86,594.97,0.0,0.0,438.88
5,A13,996.67,498.12,0.0,0.0,516.34
5,A14,931.16,595.45,796.33,890.77,191.18
5,A15,713.6,398.01,0.0,0.0,0.0
5,A16,874.84,708.77,0.0,353.66,874.84
5,A17,788.24,645.32,1402.8,0.0,0.0
5,A18,718.32,488.77,157.28,0.0,0.0
5,A19,14.42,14.42,0.0,0.0,0.0
5,A2,775.37,493.79,0.0,0.0,0.0
5,A20,877.24,683.74,0.0,0.0,0.0
5,A21,920.24,532.79,0.0,492.85,0.0
5,A23,743.51,468.51,743.51,0.0,0.0
5,A24,298.56,298.56,0.0,0.0,0.0
5,A25,291.76,291.76,291.76,0.0,0.0
5,A26,503.58,238.29,0.0,0.0,452.14
5,A27,764.79,618.77,0.0,764.79,753.42
5,A28,633.11,411.76,0.0,872.45,265.7
5,A29,997.18,604.26,0.0,0.0,1267.02
5,A3,928.88,684.98,0.0,0.0,0.0
5,A30,958.29,759.09,0.0,0.0,822.84
5,A31,748.48,464.13,0.0,0.0,748.48
5,A32,712.7,480.36,0.0,433.43,0.0
5,A33,829.56,399.15,774.8,0.0,1446.81
5,A34,738.28,408.73,738.28,0.0,585.08
5,A35,944.66,652.49,826.1,0.0,1189.96
5,A36,709.33,309.46,0.0,709.33,0.0
5,A37,864.68,572.79,0.0,338.21,0.0
5,A38,471.95,370.09,0.0,893.34,0.0
5,A39,982.64,549.4,422.17,982.64,0.0
5,A4,732.07,625.67,0.0,659.49,0.0
5,A40,897.97,676.21,737.53,0.0,435.5
5,A41,775.15,461.35,0.0,0.0,181.65
5,A42,801.81,576.72,0.0,0.0,0.0
5,A43,886.73,528.19,1280.19,2032.19,0.0
5,A44,949.92,574.2,1451.63,397.19,139.55
5,A45,940.41,673.51,0.0,213.21,0.0
5,A46,827.91,480.87,1056.81,0.0,1304.79
5,A47,400.42,400.42,0.0,0.0,0.0
5,A48,797.19,495.38,990.76,0.0,0.0
5,A49,848.9,613.81,0.0,0.0,0.0
5,A5,948.31,535.39,948.31,919.6,0.0
5,A6,959.67,654.48,0.0,0.0,0.0
5,A7,650.23,406.86,0.0,0.0,203.34
5,A8,624.81,371.86,598.28,253.09,323.22
5,A9,812.73,661.99,0.0,0.0,0.0
6,A1,977.98,458.94,0.0,171.19,977.98
6,A10,747.62,465.4,0.0,556.4,0.0
6,A11,914.89,597.09,1906.46,0.0,0.0
6,A12,928.86,594.97,0.0,0.0,438.88
6,A13,996.67,498.12,0.0,0.0,516.34
6,A14,931.16,595.45,796.33,890.77,191.18
6,A15,713.6,398.01,0.0,0.0,0.0
6,A16,874.84,719.35,0.0,353.66,1636.51
6,A17,788.24,645.32,1402.8,0.0,0.0
6,A18,718.32,488.77,157.28,0.0,0.0
6,A19,14.42,14.42,0.0,0.0,0.0
6,A2,775.37,526.4,0.0,0.0,0.0
6,A20,877.24,683.74,0.0,0.0,0.0
6,A21,920.24,532.79,0.0,492.85,0.0
6,A23,743.51,468.51,743.51,0.0,0.0
6,A24,298.56,298.56,0.0,0.0,0.0
6,A25,291.76,291.76,291.76,0.0,0.0
6,A26,503.58,238.29,0.0,0.0,452.14
6,A27,764.79,618.77,0.0,764.79,753.42
6,A28,633.11,411.76,0.0,872.45,265.7
6,A29,997.18,651.67,0.0,0.0,1267.02
6,A3,928.88,684.98,0.0,0.0,0.0
6,A30,958.29,759.09,0.0,0.0,822.84
6,A31,748.48,464.13,0.0,0.0,748.48
6,A32,712.7,480.36,0.0,433.43,0.0
6,A33,829.56,399.15,774.8,0.0,1446.81
6,A34,738.28,439.31,738.28,0.0,585.08
6,A35,944.66,652.49,826.1,0.0,1189.96
6,A36,709.33,309.46,0.0,709.33,0.0
6,A37,864.68,572.79,0.0,338.21,0.0
6,A38,471.95,370.09,0.0,893.34,0.0
6,A39,982.64,549.4,422.17,982.64,0.0
6,A4,732.07,625.67,0.0,659.49,0.0
6,A40,897.97,706.45,1564.93,0.0,435.5
6,A41,777.29,540.34,0.0,0.0,181.65
6,A42,801.81,496.18,0.0,0.0,174.04
6,A43,886.73,528.19,1280.19,2032.19,0.0
6,A44,949.92,574.2,1451.63,397.19,139.55
6,A45,940.41,673.51,0.0,213.21,0.0
6,A46,827.91,480.87,1056.81,0.0,1304.79
6,A47,900.67,650.55,0.0,0.0,900.67
6,A48,797.19,495.38,990.76,0.0,0.0
6,A49,848.9,613.81,0.0,0.0,0.0
6,A5,948.31,535.39,948.31,919.6,0.0
6,A6,959.67,654.48,0.0,0.0,0.0
6,A7,650.23,406.86,0.0,0.0,203.34
6,A8,624.81,371.86,598.28,253.09,323.22
6,A9,812.73,661.99,0.0,0.0,0.0
7,A1,977.98,574.59,0.0,171.19,977.98
7,A10,747.62,375.77,0.0,132.46,0.0
7,A11,914.89,597.09,1906.46,0.0,0.0
7,A12,928.86,533.06,0.0,0.0,438.88
7,A13,611.9,295.99,0.0,0.0,516.34
7,A14,931.16,723.01,796.33,539.61,0.0
7,A15,713.6,398.01,0.0,0.0,0.0
7,A16,874.84,836.71,0.0,0.0,1636.51
7,A17,614.56,573.86,614.56,0.0,0.0
7,A18,718.32,525.08,157.28,0.0,0.0
7,A19,612.81,612.81,0.0,0.0,0.0
7,A2,625.73,488.99,0.0,0.0,0.0
7,A20,990.85,947.1,0.0,0.0,1964.07
7,A21,984.67,604.57,0.0,1311.18,0.0
7,A22,125.64,125.64,0.0,0.0,125.64
7,A23,743.51,481.55,743.51,0.0,0.0
7,A24,675.99,487.28,0.0,0.0,0.0
7,A26,503.58,255.86,0.0,54.12,884.34
7,A27,764.79,425.57,166.29,782.57,753.42
7,A28,633.11,411.76,0.0,872.45,265.7
7,A29,997.18,694.11,0.0,0.0,827.53
7,A3,928.88,684.98,0.0,0.0,0.0
7,A30,958.29,602.15,0.0,0.0,822.84
7,A31,893.98,643.81,252.74,0.0,748.48
7,A32,877.0,488.38,0.0,433.43,0.0
7,A33,829.56,480.01,774.8,0.0,1446.81
7,A34,688.78,351.28,0.0,34.02,585.08
7,A35,944.66,749.04,714.33,0.0,944.66
7,A36,738.68,416.76,0.0,709.33,0.0
7,A37,864.68,572.79,0.0,338.21,0.0
7,A38,471.95,370.09,0.0,893.34,0.0
7,A39,982.64,549.4,422.17,982.64,0.0
7,A4,938.17,786.84,0.0,1422.35,0.0
7,A40,897.97,724.73,1564.93,0.0,0.0
7,A41,777.29,538.9,533.87,0.0,0.0
7,A42,767.11,447.59,0.0,0.0,174.04
7,A43,816.13,483.6,816.13,660.77,0.0
7,A44,560.05,357.45,501.71,0.0,0.0
7,A45,940.41,568.51,0.0,213.21,0.0
7,A46,824.25,403.4,1881.06,131.6,0.0
7,A47,900.67,900.67,0.0,0.0,900.67
7,A48,797.19,637.97,797.19,0.0,0.0
7,A49,961.67,670.19,0.0,0.0,0.0
7,A5,948.31,483.41,948.31,736.5,0.0
7,A6,959.67,654.48,0.0,0.0,0.0
7,A7,924.59,498.31,0.0,0.0,203.34
7,A8,794.25,421.04,598.28,1047.34,343.4
7,A9,812.73,661.99,0.0,0.0,0.0
8,A1,977.98,590.53,0.0,171.19,1600.41
8,A10,247.24,189.85,0.0,132.46,0.0
8,A12,827.76,544.21,391.18,0.0,759.91
8,A13,611.9,380.97,0.0,0.0,0.0
8,A14,931.16,723.01,796.33,539.61,0.0
8,A15,515.35,355.06,0.0,0.0,0.0
8,A16,874.84,836.71,0.0,0.0,1636.51
8,A17,614.56,614.56,614.56,0.0,0.0
8,A18,941.14,684.55,884.61,0.0,0.0
8,A19,612.81,612.81,0.0,0.0,0.0
8,A2,625.73,488.99,0.0,0.0,0.0
8,A20,990.85,810.87,402.18,0.0,1964.07
8,A21,984.67,786.47,0.0,1311.18,0.0
8,A22,125.64,125.64,0.0,0.0,125.64
8,A23,647.12,390.27,0.0,0.0,0.0
8,A24,675.99,675.99,0.0,0.0,0.0
8,A25,838.5,838.5,0.0,0.0,0.0
8,A26,503.58,255.86,0.0,54.12,884.34
8,A27,166.29,92.04,166.29,17.78,0.0
8,A28,633.11,483.86,0.0,530.93,0.0
8,A29,997.18,904.49,0.0,0.0,827.53
8,A3,928.88,751.03,0.0,0.0,0.0
8,A30,822.84,513.11,0.0,0.0,822.84
8,A31,893.98,617.64,252.74,0.0,0.0
8,A32,877.0,488.38,0.0,433.43,0.0
8,A33,829.56,565.74,774.8,0.0,1446.81
8,A34,688.78,371.72,0.0,34.02,5.16
8,A35,810.77,762.55,714.33,0.0,0.0
8,A36,738.68,416.76,0.0,709.33,0.0
8,A37,864.68,650.99,0.0,0.0,0.0
8,A38,471.95,370.09,0.0,893.34,0.0
8,A39,982.64,553.12,422.17,982.64,564.29
8,A4,938.17,850.52,0.0,762.86,0.0
8,A40,897.97,747.45,1564.93,0.0,0.0
8,A41,777.29,538.9,533.87,0.0,0.0
8,A42,461.91,256.94,0.0,0.0,174.04
8,A43,816.13,483.6,816.13,660.77,0.0
8,A44,560.05,362.49,501.71,0.0,0.0
8,A45,940.41,568.51,0.0,213.21,0.0
8,A46,824.25,354.96,832.07,131.6,0.0
8,A47,900.67,900.67,0.0,0.0,900.67
8,A48,762.14,558.36,0.0,0.0,0.0
8,A49,961.67,961.67,0.0,0.0,0.0
8,A5,948.31,479.85,1100.19,736.5,964.88
8,A6,953.46,805.18,0.0,0.0,0.0
8,A7,924.59,603.56,682.74,0.0,203.34
8,A8,794.25,519.41,0.0,794.25,20.18
8,A9,812.73,749.09,0.0,0.0,0.0
9,A1,977.98,662.28,898.64,171.19,1600.41
9,A10,960.56,423.14,960.56,132.46,0.0
9,A12,827.76,472.08,391.18,67.27,1246.47
9,A13,784.17,515.56,0.0,784.17,0.0
9,A14,931.16,693.62,796.33,539.61,0.0
9,A15,515.35,395.54,766.86,500.73,0.0
9,A16,874.84,575.1,0.0,0.0,1645.14
9,A17,826.62,542.22,614.56,0.0,1012.1
9,A18,941.14,716.79,727.33,0.0,0.0
9,A19,947.38,570.82,190.74,947.38,0.0
9,A2,625.73,426.42,0.0,478.62,0.0
9,A20,990.85,788.75,402.18,0.0,1964.07
9,A21,984.67,786.47,0.0,1311.18,0.0
9,A22,995.78,560.71,0.0,0.0,125.64
9,A23,946.09,796.61,0.0,0.0,946.09
9,A24,675.99,675.99,0.0,0.0,0.0
9,A25,838.5,471.35,0.0,0.0,0.0
9,A26,503.58,281.66,0.0,54.12,884.34
9,A27,166.29,92.04,166.29,17.78,0.0
9,A28,633.11,390.49,532.01,159.73,340.07
9,A29,888.75,765.44,0.0,0.0,827.53
9,A3,928.88,928.88,0.0,0.0,0.0
9,A30,619.14,366.74,0.0,0.0,0.0
9,A31,893.98,564.55,252.74,0.0,0.0
9,A32,877.0,497.61,0.0,433.43,0.0
9,A33,829.56,462.6,774.8,475.89,1775.55
9,A34,653.37,310.39,517.58,34.02,375.39
9,A35,810.77,595.16,714.33,0.0,0.0
9,A36,949.59,646.86,0.0,2385.46,0.0
9,A37,864.68,529.61,0.0,0.0,0.0
9,A38,669.7,463.59,0.0,893.34,1207.68
9,A39,648.41,400.42,1070.58,447.67,564.29
9,A4,938.17,850.52,0.0,762.86,0.0
9,A40,958.65,743.68,1564.93,958.65,0.0
9,A41,777.29,491.65,533.87,0.0,0.0
9,A42,894.86,384.52,0.0,0.0,1068.9
9,A43,816.13,483.6,816.13,660.77,0.0
9,A44,560.05,237.44,0.0,0.0,0.0
9,A45,940.41,421.96,0.0,0.0,0.0
9,A46,824.25,315.06,832.07,131.6,0.0
9,A47,900.67,900.67,0.0,0.0,900.67
9,A48,762.14,558.36,0.0,0.0,0.0
9,A49,961.67,961.67,0.0,0.0,0.0
9,A5,948.31,428.52,1100.19,0.0,964.88
9,A6,953.46,537.39,0.0,1.8,0.0
9,A7,924.59,522.29,682.74,0.0,203.34
9,A8,794.25,412.26,0.0,794.25,20.18
9,A9,812.73,682.79,0.0,0.0,0.0
10,A1,898.64,583.35,898.64,171.19,622.43
10,A10,960.56,520.03,960.56,0.0,0.0
10,A12,827.76,418.47,391.18,67.27,1246.47
10,A13,784.17,497.88,0.0,784.17,0.0
10,A14,930.43,669.61,571.02,0.0,930.43
10,A15,500.73,422.53,766.86,500.73,0.0
10,A16,873.61,482.6,0.0,0.0,1182.64
10,A17,826.62,506.05,0.0,0.0,1012.1
10,A18,941.14,708.95,727.33,0.0,0.0
10,A19,947.38,570.82,190.74,947.38,0.0
10,A2,625.73,463.13,0.0,478.62,0.0
10,A20,990.85,820.78,402.18,0.0,1964.07
10,A21,984.67,826.43,0.0,818.33,0.0
10,A22,995.78,488.98,345.52,0.0,125.64
10,A23,946.09,946.09,0.0,0.0,946.09
10,A24,675.99,675.99,0.0,0.0,0.0
10,A25,838.5,471.35,0.0,0.0,0.0
10,A26,685.36,358.15,685.36,54.12,432.2
10,A27,166.29,92.04,166.29,17.78,0.0
10,A28,807.54,459.84,532.01,159.73,340.07
10,A29,888.75,734.4,0.0,0.0,0.0
10,A30,619.14,366.74,0.0,0.0,0.0
10,A31,893.98,573.67,252.74,0.0,0.0
10,A32,877.0,472.66,0.0,0.0,0.0
10,A33,535.72,361.44,0.0,475.89,328.74
10,A34,653.37,393.8,517.58,34.02,370.23
10,A35,714.33,443.2,714.33,503.21,0.0
10,A36,949.59,759.45,0.0,1676.13,0.0
10,A37,165.48,165.48,0.0,0.0,0.0
10,A38,669.7,603.84,0.0,0.0,1207.68
10,A39,648.41,434.25,648.41,447.67,564.29
10,A4,938.17,621.6,163.78,762.86,0.0
10,A40,958.65,706.64,827.4,958.65,0.0
10,A41,777.29,507.75,533.87,0.0,0.0
10,A42,961.68,499.4,961.68,0.0,1068.9
10,A43,843.61,674.88,816.13,843.61,0.0
10,A44,560.05,237.44,0.0,0.0,0.0
10,A45,818.82,312.85,0.0,818.82,0.0
10,A46,824.25,339.73,824.25,131.6,0.0
10,A47,900.67,744.94,537.26,0.0,900.67
10,A48,762.14,450.23,0.0,0.0,0.0
10,A49,961.67,651.28,0.0,340.89,0.0
10,A5,886.19,483.68,151.88,821.64,964.88
10,A6,1.8,1.8,0.0,1.8,0.0
10,A7,924.59,628.61,682.74,0.0,0.0
10,A8,794.25,412.26,0.0,794.25,20.18
10,A9,581.97,566.08,0.0,0.0,0.0
11,A1,898.64,674.99,898.64,0.0,622.43
11,A10,960.56,592.17,960.56,0.0,0.0
11,A12,827.76,418.47,391.18,67.27,1246.47
11,A13,784.17,497.88,0.0,784.17,0.0
11,A14,930.43,686.3,571.02,0.0,930.43
11,A15,500.73,422.53,766.86,500.73,0.0
11,A16,873.61,413.74,0.0,284.9,420.97
11,A17,826.62,506.05,0.0,0.0,1012.1
11,A18,941.14,670.44,727.33,0.0,0.0
11,A19,947.38,459.91,190.74,1389.36,34.22
11,A2,625.73,359.38,0.0,478.62,0.0
11,A20,990.85,704.18,402.18,0.0,1964.07
11,A21,984.67,682.29,0.0,818.33,0.0
11,A22,995.78,488.98,345.52,0.0,125.64
11,A23,946.09,946.09,0.0,0.0,946.09
11,A24,675.99,675.99,0.0,0.0,0.0
11,A25,838.5,471.35,0.0,0.0,0.0
11,A26,685.36,358.15,685.36,54.12,432.2
11,A27,721.92,247.38,249.83,17.78,721.92
11,A28,807.54,459.84,532.01,159.73,340.07
11,A29,983.69,781.87,983.69,0.0,0.0
11,A30,619.14,366.74,0.0,0.0,0.0
11,A31,893.98,573.67,252.74,0.0,0.0
11,A32,877.0,472.66,0.0,0.0,0.0
11,A33,535.72,361.44,0.0,475.89,328.74
11,A34,517.58,278.15,517.58,34.02,561.01
11,A35,714.33,387.96,714.33,503.21,0.0
11,A36,949.59,759.45,0.0,1676.13,0.0
11,A37,877.54,605.37,773.09,877.54,0.0
11,A38,880.45,485.56,116.02,0.0,2088.13
11,A39,648.41,434.25,648.41,447.67,564.29
11,A4,938.17,641.8,163.78,762.86,702.4
11,A40,958.65,666.38,0.0,958.65,0.0
11,A41,533.87,417.9,533.87,0.0,0.0
11,A42,961.68,580.74,961.68,0.0,894.86
11,A43,843.61,674.88,816.13,843.61,0.0
11,A44,990.11,363.72,242.44,0.0,990.11
11,A45,818.82,357.96,0.0,818.82,0.0
11,A46,824.25,339.73,824.25,131.6,0.0
11,A47,796.9,667.08,537.26,0.0,0.0
11,A48,762.14,426.25,0.0,0.0,162.03
11,A49,961.67,651.28,0.0,340.89,0.0
11,A5,886.19,483.68,151.88,821.64,964.88
11,A6,1.8,1.8,0.0,1.8,0.0
11,A7,924.59,601.71,682.74,0.0,326.39
11,A8,794.25,412.26,0.0,794.25,20.18
11,A9,581.97,566.08,0.0,0.0,0.0
12,A1,898.64,626.31,898.64,0.0,1054.02
12,A10,960.56,515.74,960.56,457.26,0.0
12,A12,827.76,451.67,391.18,523.16,1246.47
12,A13,866.21,676.92,0.0,784.17,866.21
12,A14,930.43,686.3,571.02,0.0,930.43
12,A15,500.73,422.53,766.86,500.73,0.0
12,A16,575.27,364.02,0.0,284.9,420.97
12,A17,826.62,521.02,0.0,550.95,1012.1
12,A18,941.14,615.61,1104.42,0.0,0.0
12,A19,947.38,429.33,190.74,1389.36,34.22
12,A2,642.27,363.52,0.0,1120.89,0.0
12,A20,916.87,518.94,402.18,0.0,0.0
12,A21,935.71,676.16,935.71,783.38,0.0
12,A22,995.78,670.65,345.52,0.0,0.0
12,A23,946.09,619.1,1272.67,0.0,946.09
12,A24,976.95,976.95,0.0,0.0,976.95
12,A25,838.5,471.35,0.0,0.0,0.0
12,A26,685.36,399.24,947.74,0.0,0.0
12,A27,721.92,296.59,83.54,0.0,918.1
12,A28,807.54,566.51,532.01,159.73,1118.96
12,A29,983.69,781.87,983.69,0.0,0.0
12,A3,777.15,703.25,777.15,629.35,0.0
12,A30,252.14,252.14,0.0,252.14,0.0
12,A31,793.57,543.05,0.0,0.0,0.0
12,A32,864.56,532.9,0.0,216.41,864.56
12,A33,535.72,359.46,0.0,475.89,328.74
12,A34,517.58,385.31,517.58,0.0,561.01
12,A35,875.48,447.34,0.0,1378.69,0.0
12,A36,949.59,618.58,0.0,1676.13,0.0
12,A37,877.54,657.19,773.09,877.54,0.0
12,A38,880.45,480.37,116.02,0.0,2088.13
12,A39,648.41,357.71,648.41,447.67,564.29
12,A4,927.5,597.89,163.78,0.0,1629.9
12,A40,958.65,736.13,0.0,958.65,0.0
12,A41,337.13,228.81,0.0,120.49,0.0
12,A42,961.68,620.35,961.68,0.0,894.86
12,A43,843.61,458.41,0.0,843.61,0.0
12,A44,990.11,396.03,242.44,368.48,990.11
12,A45,926.99,454.37,0.0,818.82,0.0
12,A46,968.23,385.14,0.0,71.58,0.0
12,A47,796.9,667.08,537.26,0.0,0.0
12,A48,618.16,360.19,0.0,0.0,162.03
12,A49,340.89,340.89,0.0,340.89,0.0
12,A5,886.19,543.62,151.88,1326.13,964.88
12,A6,1.8,1.8,0.0,1.8,0.0
12,A7,796.32,491.01,682.74,0.0,326.39
12,A8,497.34,305.1,0.0,0.0,0.0
12,A9,581.97,566.08,0.0,0.0,0.0
13,A1,898.64,627.28,898.64,0.0,431.59
13,A10,960.56,547.74,1668.3,457.26,0.0
13,A12,486.56,295.71,0.0,523.16,486.56
13,A13,866.21,575.37,0.0,784.17,866.21
13,A14,951.87,739.41,571.02,0.0,930.43
13,A15,500.73,422.53,766.86,500.73,0.0
13,A16,575.27,338.57,0.0,284.9,420.97
13,A17,826.62,521.02,0.0,550.95,1012.1
13,A18,973.46,606.27,1350.55,877.68,0.0
13,A19,947.38,429.33,190.74,1389.36,34.22
13,A2,642.27,398.13,0.0,1120.89,536.59
13,A20,916.87,577.32,0.0,0.0,0.0
13,A21,935.71,532.95,935.71,783.38,0.0
13,A22,995.78,762.38,345.52,0.0,0.0
13,A23,946.09,619.1,1272.67,0.0,946.09
13,A24,976.95,976.95,0.0,0.0,976.95
13,A25,104.19,104.19,0.0,0.0,0.0
13,A26,685.36,422.96,947.74,0.0,0.0
13,A27,721.92,296.59,83.54,0.0,918.1
13,A28,807.54,566.51,532.01,159.73,1118.96
13,A29,983.69,695.1,983.69,0.0,0.0
13,A3,777.15,703.25,777.15,629.35,0.0
13,A30,510.59,381.37,0.0,252.14,510.59
13,A31,793.57,520.08,0.0,419.07,0.0
13,A32,864.56,434.81,458.25,235.43,864.56
13,A33,535.72,359.46,0.0,475.89,328.74
13,A34,517.58,385.31,517.58,0.0,561.01
13,A35,875.48,471.57,0.0,1378.69,0.0
13,A36,949.59,528.69,0.0,1676.13,0.0
13,A37,877.54,657.19,773.09,877.54,0.0
13,A38,880.45,421.88,116.02,0.0,2088.13
13,A39,648.41,306.06,648.41,447.67,0.0
13,A4,927.5,597.89,163.78,0.0,1629.9
13,A40,958.65,475.21,0.0,1380.7,0.0
13,A41,337.13,228.81,0.0,120.49,0.0
13,A42,961.68,928.27,961.68,0.0,894.86
13,A43,843.61,522.12,0.0,843.61,0.0
13,A44,990.11,400.64,242.44,368.48,990.11
13,A45,926.99,448.12,0.0,818.82,0.0
13,A46,968.23,359.31,281.83,71.58,0.0
13,A47,796.9,667.08,537.26,0.0,0.0
13,A48,618.16,360.19,0.0,0.0,162.03
13,A49,340.89,327.08,0.0,340.89,0.0
13,A5,886.19,675.7,0.0,1326.13,0.0
13,A6,857.62,423.11,0.0,859.42,178.29
13,A7,796.32,389.09,0.0,0.0,326.39
13,A8,688.66,422.44,0.0,0.0,508.23
